Unique Owners
"The Vanguard Group, Inc."
"Berkshire Hathaway, Inc. (Investment Management)"
BlackRock Fund Advisors
"SSgA Funds Management, Inc."
Geode Capital Management LLC
Fidelity Management & Research Co. LLC
"T. Rowe Price Associates, Inc. (Investment Management)"
Norges Bank Investment Management
"Northern Trust Investments, Inc.(Investment Management)"
BlackRock Advisors (UK) Ltd.
Morgan Stanley Smith Barney LLC (Investment Management)
"JPMorgan Investment Management, Inc."
BlackRock Investment Management (UK) Ltd.
Legal & General Investment Management Ltd.
"Charles Schwab Investment Management, Inc."
Goldman Sachs Asset Management LP
Parametric Portfolio Associates LLC
H&H International Investment LLC
Wellington Management Co. LLP
Fisher Asset Management LLC
Capital Research & Management Co. (World Investors)
Capital Research & Management Co. (Global Investors)
Capital Research & Management Co. (International Investors)
AllianceBernstein LP
Jennison Associates LLC
Sanders Capital LLC
GQG Partners LLC
BEZOS JEFFREY PRESTON
BEZOS MACKENZIE T
"Amundi Asset Management US, Inc."
GATES WILLIAM H III
Massachusetts Financial Services Co.
BRIN SERGEY MIKHAYLOVICH
Dodge & Cox
MUSK ELON REEVE
Goldman Sachs & Co. LLC (Private Banking)
Baillie Gifford & Co.
"BAMCO, Inc."
Morgan Stanley & Co. LLC
"Loomis, Sayles & Co. LP"
HUANG JEN HSUN
